site_no,station_nm,site_type,lat,lon
05406469,"BREWERY CREEK-UPSTREAM SITE-AT CROSS PLAINS, WI",ST,43.12527778,-89.635
05406470,"BREWERY CREEK AT CROSS PLAINS, WI",ST,43.11916068,-89.6403997
05406476,"BLACK EARTH CREEK @ MILLS STREET @ CROSS PLAINS,WI",ST,43.11332746,-89.650122
054064785,"BLACK EARTH CREEK TRIBUTARY AT CROSS PLAINS, WI",ST,43.11166078,-89.6645666
05406479,"BLACK EARTH CK NR TREATMENT PLNT @ CROSS PLAINS,WI",ST,43.1147222,-89.6641667
05406483,"BLACK EARTH CREEK LOW FLOW NO 7 AT CROSS PLAINS,WI",ST,43.041659,-89.6700869
05406491,"GARFOOT CREEK NEAR CROSS PLAINS, WI",ST,43.11027186,-89.6795668
05406497,"BLACK EARTH CREEK @ S. VALLEY RD NR BLACK EARTH,WI",ST,43.125,-89.7097222
05406500,"BLACK EARTH CREEK AT BLACK EARTH, WI",ST,43.13416667,-89.7322222
05406573,"TROUT CR CONFLUENCE W/ARNESON CR NR BARNEVELD, WI",ST,43.04777397,-89.9467902
05406575,"TROUT CREEK AT CTH T NEAR BARNEVELD, WI",ST,43.0644364,-89.9528744
05406577,"TROUT CREEK NEAR RIDGEWAY, WI",ST,43.0688808,-89.9659304
05406714,"PINE RIVER AT SITE 36B NEAR HUB CITY, WI",ST,43.4899893,-90.3667781
05406840,"ASH CREEK AT SITE 2B NEAR RICHLAND CENTER, WI",ST,43.29276805,-90.4198352
05407000,"WISCONSIN RIVER AT MUSCODA, WI",ST,43.19805556,-90.4433333
05407470,"KICKAPOO RIVER AT STATE HIGHWAY 33 AT ONTARIO, WI",ST,43.72166667,-90.5875
05407500,"KICKAPOO RIVER AT ONTARIO, WI",ST,43.71443246,-90.5870639
05407920,"KICKAPOO RIVER NEAR ROCKTON, WI",ST,43.6127662,-90.6262317
05407950,"KICKAPOO RIVER NEAR LA FARGE, WI",ST,43.59443297,-90.6334542
05408000,"KICKAPOO RIVER AT LA FARGE, WI",ST,43.57415528,-90.6431767
05409830,"NORTH FORK NEDERLO CREEK NEAR GAYS MILLS, WI",ST,43.3630449,-90.9095743
05409842,"NORTH FK NEDERLO CR AT MOUTH NEAR GAYS MILLS, WI",ST,43.3599894,-90.9084631
05409860,"SOUTH FORK NEDERLO CREEK NEAR GAYS MILLS, WI",ST,43.3599894,-90.90874089
05409870,"NEDERLO CREEK AT UTICA TN HALL NEAR GAYS MILLS, WI",ST,43.35832276,-90.8970738
05409890,"NEDERLO CREEK NEAR GAYS MILLS, WI",ST,43.36193387,-90.8790177
054134435,"KUENSTER CR AT MUSKELLUNGE RD NEAR N. ANDOVER, WI",ST,42.7908243,-90.9573495
05413449,"RATTLESNAKE CREEK NEAR NORTH ANDOVER, WI",ST,42.78026908,-90.9423494
05413451,"RATTLESNAKE CREEK NEAR BEETOWN, WI",ST,42.7672139,-90.929016
05414213,"LITTLE PLATTE RIVER NEAR PLATTEVILLE, WI",ST,42.7230489,-90.5281842
05414800,"SINSINAWA RIVER NEAR HAZEL GREEN, WI",ST,42.53389075,-90.481517
05414894,"PATS CREEK NEAR BELMONT, WI",ST,42.68277175,-90.3670545
05414915,"MADDEN BRANCH TRIBUTARY NEAR BELMONT, WI",ST,42.66749825,-90.3292943
05414920,"MADDEN BRANCH NEAR MEEKERS GROVE, WI",ST,42.64582757,-90.3437203
05418731,"APPLE RIVER NEAR SHULLSBURG, WI",ST,42.5227823,-90.1340143
05427570,"ROCK RIVER AT INDIANFORD, WI",ST,42.80416667,-89.09
05427927,"DORN (SPRING) CREEK @ CT HIGHWAY Q NR WAUNAKEE, WI",ST,43.14505556,-89.4718611
05427930,"DORN (SPRING) CREEK AT CT HIGHWAY M NR WAUNAKEE,WI",ST,43.14027778,-89.4423056
05427948,"PHEASANT BRANCH AT MIDDLETON, WI",ST,43.1033333,-89.5116667
05427970,"WILLOW CREEK AT MADISON, WI",ST,43.07416267,-89.4226196
05428600,"WEST BRANCH STARKWEATHER CREEK AT MADISON, WI",ST,43.0994494,-89.3384089
05429369,"SWAN CREEK AT LALOR ROAD NEAR FITCHBURG, WI",ST,42.99951944,-89.3615417
05430500,"ROCK RIVER AT AFTON, WI",ST,42.6136111,-89.0716667
05431016,"JACKSON CREEK AT MOUND ROAD NEAR ELKHORN, WI",ST,42.6408333,-88.5608333
05431017,"DELAVAN LAKE INLET AT STATE HWY 50 AT LAKE LAWN,WI",ST,42.6211265,-88.5826011
05432055,"LIVINGSTON BR PECATONICA RIVER NEAR LIVINGSTON, WI",ST,42.9002711,-90.3731813
054322653,"BREWERY CR TRIB-UPSTREAM SITE-NR MINERAL POINT, WI",ST,42.88166667,-90.1308333
054322655,"BREWERY CR TRB-DOWNSTREAM SITE-NR MINERAL POINT,WI",ST,42.8736111,-90.1336111
05433500,"YELLOWSTONE RIVER NEAR BLANCHARDVILLE, WI",ST,42.7813899,-89.9979025
05433510,"STEINER BRANCH NEAR WALDWICK, WI",ST,42.775827,-89.998431
05435934,"BADGER MILL CREEK AT NESBITT ROAD AT MADISON, WI",ST,43.00110855,-89.4990104
05435935,"BADGER MILL CREEK @ HIGHWAYS 18 & 151 @ MADISON,WI",ST,42.99861656,-89.498692
05435943,"BADGER MILL CREEK AT VERONA, WI",ST,42.97694444,-89.5394444
05435950,"SUGAR RIVER NEAR VERONA, WI",ST,42.94916667,-89.5441667
05436000,"MOUNT VERNON CREEK NEAR MOUNT VERNON, WI",ST,42.92083916,-89.6203628
05545131,"SOUTHWICK CREEK AT WILLIAMS BAY, WI",ST,42.5791831,-88.538711
05545133,"BIRCHES CREEK AT LACKEY LANE NEAR LAKE GENEVA, WI",ST,42.5600171,-88.4875986
05545750,"FOX RIVER NEAR NEW MUNSTER, WI",ST,42.61085116,-88.225923
443217088000901,"FOX R (UPPER) A SCHMIDT OIL DOCK A GREEN BAY, WI",ST,44.5380549,-88.0025304
443217088000902,"FOX R (LOWER) A SCHMIDT OIL DOCK A GREEN BAY, WI",ST,44.5380549,-88.0025304
04085500,"CEDAR LAKE NEAR KIEL, WI",LK,43.9263904,-87.9397501
054279485,"STRICKER'S POND AT MIDDLETON, WI",LK,43.0872271,-89.5098037
05429000,"LAKE MONONA AT MADISON, WI",LK,43.0633297,-89.3970636
423755088341700,"DELAVAN LAKE INLET-BASE SITE-NEAR LAKE LAWN, WI",LK,42.6319527,-88.5714378
453100089343002,"LAKE CLARA NEAR TOMAHAWK, WI",LK,45.5166633,-89.5750872
455946089415704,"LITTLE ROCK LAKE (WATER TEMP) NEAR WOODRUFF, WI",LK,45.99609467,-89.6992592
461342091561002,"ROUND LAKE NEAR GORDON, WI",LK,46.2283143,-91.9362844
462458091274402,"EAST EIGHTMILE LAKE NEAR IRON RIVER, WI",LK,46.41609289,-91.462379
