waterbody,usgs_site_no,date,gage_height_ft,qualifiers
Lake Winnebago,04082500,2023-09-15,2.86,A
Lake Winnebago,04082500,2023-09-16,2.87,A
Lake Winnebago,04082500,2023-09-17,2.89,A
Lake Winnebago,04082500,2023-09-18,2.88,A
Lake Winnebago,04082500,2023-09-19,2.85,A
Lake Winnebago,04082500,2023-09-20,2.84,A
Lake Winnebago,04082500,2023-09-21,2.85,A
Lake Winnebago,04082500,2023-09-22,2.86,A
Lake Winnebago,04082500,2023-09-23,2.86,A
Lake Winnebago,04082500,2023-09-24,2.86,A
Lake Winnebago,04082500,2023-09-25,2.86,A
Lake Winnebago,04082500,2023-09-26,2.90,A
Lake Winnebago,04082500,2023-09-27,2.92,A
Lake Winnebago,04082500,2023-09-28,2.92,A
Lake Winnebago,04082500,2023-09-29,2.92,A
Lake Winnebago,04082500,2023-09-30,2.92,A
Lake Winnebago,04082500,2023-10-01,2.94,A
Lake Winnebago,04082500,2023-10-02,2.95,A
Lake Winnebago,04082500,2023-10-03,2.95,A
Lake Winnebago,04082500,2023-10-04,2.92,A
Lake Winnebago,04082500,2023-10-05,2.92,A
Lake Winnebago,04082500,2023-10-06,2.90,A
Lake Winnebago,04082500,2023-10-07,2.92,A
Lake Winnebago,04082500,2023-10-08,2.89,A
Lake Winnebago,04082500,2023-10-09,2.86,A
Lake Winnebago,04082500,2023-10-10,2.86,A
Lake Winnebago,04082500,2023-10-11,2.85,A
Lake Winnebago,04082500,2023-10-12,2.87,A
Lake Winnebago,04082500,2023-10-13,2.94,A
Lake Winnebago,04082500,2023-10-14,2.96,A
Lake Winnebago,04082500,2023-10-15,2.94,A
Lake Winnebago,04082500,2023-10-16,2.94,A
Lake Winnebago,04082500,2023-10-17,2.94,A
Lake Winnebago,04082500,2023-10-18,2.92,A
Lake Winnebago,04082500,2023-10-19,2.92,A
Lake Winnebago,04082500,2023-10-20,2.95,A
Lake Winnebago,04082500,2023-10-21,2.94,A
Lake Winnebago,04082500,2023-10-22,2.93,A
Lake Winnebago,04082500,2023-10-23,2.92,A
Lake Winnebago,04082500,2023-10-24,2.95,A
Lake Winnebago,04082500,2023-10-25,2.96,A
Lake Winnebago,04082500,2023-10-26,2.96,A
Lake Winnebago,04082500,2023-10-27,2.92,A
Lake Winnebago,04082500,2023-10-28,2.92,A
Lake Winnebago,04082500,2023-10-29,2.88,A
Lake Winnebago,04082500,2023-10-30,2.83,A
Lake Winnebago,04082500,2023-10-31,2.80,A
Lake Winnebago,04082500,2023-11-01,2.79,A
Lake Winnebago,04082500,2023-11-02,2.77,A
Lake Winnebago,04082500,2023-11-03,2.76,A
Lake Winnebago,04082500,2023-11-04,2.76,A
Lake Winnebago,04082500,2023-11-05,2.75,A
Lake Winnebago,04082500,2023-11-06,2.69,A
Lake Winnebago,04082500,2023-11-07,2.75,A
Lake Winnebago,04082500,2023-11-08,2.71,A
Lake Winnebago,04082500,2023-11-09,2.66,A
Lake Winnebago,04082500,2023-11-10,2.69,A
Lake Winnebago,04082500,2023-11-11,2.68,A
Lake Winnebago,04082500,2023-11-12,2.62,A
Lake Winnebago,04082500,2023-11-13,2.60,A
Lake Winnebago,04082500,2023-11-14,2.60,A
Lake Winnebago,04082500,2023-11-15,2.58,A
Lake Winnebago,04082500,2023-11-16,2.56,A
Lake Winnebago,04082500,2023-11-17,2.57,A
Lake Winnebago,04082500,2023-11-18,2.56,A
Lake Winnebago,04082500,2023-11-19,2.57,A
Lake Winnebago,04082500,2023-11-20,2.57,A
Lake Winnebago,04082500,2023-11-21,2.54,A
Lake Winnebago,04082500,2023-11-22,2.54,A
Lake Winnebago,04082500,2023-11-23,2.54,A
Lake Winnebago,04082500,2023-11-24,2.52,A
Lake Winnebago,04082500,2023-11-25,2.51,A
Lake Winnebago,04082500,2023-11-26,2.48,A
Lake Winnebago,04082500,2023-11-27,2.46,A
Lake Winnebago,04082500,2023-11-28,2.44,A
Lake Winnebago,04082500,2023-11-29,2.45,A
Lake Winnebago,04082500,2023-11-30,2.44,A
Lake Winnebago,04082500,2023-12-01,2.46,A
Lake Winnebago,04082500,2023-12-02,2.44,A
Lake Winnebago,04082500,2023-12-03,2.46,A
Lake Winnebago,04082500,2023-12-04,2.45,A
Lake Winnebago,04082500,2023-12-05,2.44,A
Lake Winnebago,04082500,2023-12-06,2.43,A
Lake Winnebago,04082500,2023-12-07,2.45,A
Lake Winnebago,04082500,2023-12-08,2.44,A
Lake Winnebago,04082500,2023-12-09,2.43,A
Lake Winnebago,04082500,2023-12-10,2.45,A
Lake Winnebago,04082500,2023-12-11,2.45,A
Lake Winnebago,04082500,2023-12-12,2.41,A
Lake Winnebago,04082500,2023-12-13,2.44,A
Lake Winnebago,04082500,2023-12-14,2.44,A
Lake Winnebago,04082500,2023-12-15,2.44,A
Lake Winnebago,04082500,2023-12-16,2.44,A
Lake Winnebago,04082500,2023-12-17,2.42,A
